"entity_id","CategoryName","sku","name","description","shortdesc","price","link","image","Brand","Rating","CaffeineType","Count","Flavored","Seasonal","Instock","Facebook","IsKCup"
"340","Green Mountain Ground Coffee","20","Green Mountain Coffee French Roast Ground Coffee 24 2.2oz Bag","","Green Mountain Coffee French Roast Ground Coffee 24 2.2oz Bag steeps cup after cup of smoky-sweet, complex dark roast coffee from Green Mountain Ground Coffee.","41.6000","http://www.coffeeforless.com/green-mountain-coffee-french-roast-ground-coffee-24-2-2oz-bag.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/frac_box.jpg","Green Mountain Coffee","0","Caffeinated","24","No","No","Yes","1","0"
"342","Nestle Hot Chocolate","5000081171","Nestle's Rich Hot Chocolate 50 Packets","","Nestle's Rich Hot Chocolate 50 Packets bulk quantity prepare 50 individual servings of milk chocolate instant hot cocoa from Nestle Hot Chocolate.","11.9900","http://www.coffeeforless.com/nestles-milk-hot-chocolate-50-packets.html","http://mcdn.coffeeforless.com/media/catalog/product//n/e/nestle-hot-chocolate-mix-50-packets.png","Nestle","5","","50","","","Yes","1","0"
"343","Green Mountain K-Cup&reg; Coffee","7602C","Green Mountain Coffee Vermont Country Blend Decaf K-Cup&reg; Coffee 96ct Medium","","Green Mountain Coffee Vermont Country Blend Decaf K-Cup&amp;reg; Pods 96ct Medium case makes a balanced, mild-bodied decaf medium roast coffee from Green Mountain K-Cup&amp;reg; Pods.","59.9600","http://www.coffeeforless.com/green-mountain-coffee-vermont-country-blend-decaf-k-cups-96ct-medium.html","http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-vermont-country-blend-decaf-k-cups-96ct-medium-914.jpg","Green Mountain Coffee","5","Decaffeinated","96","No","No","Yes","0","1"
"344","Tazo Tea","396","Tazo Om Tea 24ct Box","","Tazo Om Tea 24ct box allow you to steep 24 individual cups of flavorful, complicated blended tea when you prepare Tazo Tea.","6.5000","http://www.coffeeforless.com/tazo-om-tea-24ct-box.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/tazo-om-tea-24ct-box.jpg","Tazo","5","Caffeinated","","No","No","No","1","0"
"345","Tazo Tea","149901","Tazo Calm Tea 24ct Box","","Tazo Calm Tea 24ct box allow you to make 24 individual servings of brisk, complicated blended tea when you serve Tazo Tea.","6.5000","http://www.coffeeforless.com/tazo-calm-tea-24ct-box.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/tazo-calm-tea-24ct-box.jpg","Tazo","5","Caffeine Free","","Yes","No","Yes","1","0"
"346","Flavored Coffee Beans","06-1745","Barrie House Irish Cream Coffee Beans 3 5lb Bags","","Barrie House Irish Cream Coffee Beans 3 5lb Bags bulk quantity makes many pots of freshly ground Irish cream flavored coffee from Barrie House Coffee Beans.","129.9900","http://www.coffeeforless.com/barrie-house-irish-cream-coffee-beans-3-5lb-bags.html","http://mcdn.coffeeforless.com/media/catalog/product//b/a/barrie-house-irish-cream-coffee-beans-3-5lb-bags.jpg","Barrie House","0","Caffeinated","","Yes","No","No","1","0"
"347","Paper Towels","190","Marcal Sunrise Rolled Towels","","Marcal Sunrise Rolled Towels keep you stocked with disposable paper towels that perfectly meet your needs when you need Paper Towels.","21.9900","http://www.coffeeforless.com/marcal-sunrise-rolled-towels.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/sunrise_paper_towels.jpg","Marcal","0","","15","","","Yes","1","0"
"348","Plastic Utensils","169","Medium Weight Plastic Spoons 1000ct","","Medium Weight Plastic Spoons 1000ct supply your coffee or beverage service at home or at the office with disposable Plastic Utensils.","25.0000","http://www.coffeeforless.com/medium-weight-plastic-spoons-1000ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/spoons.jpg","Sweetheart","0","","1000","","","Yes","1","0"
"350","Swiss Miss Hot Chocolate","1570007288","Swiss Miss Hot Chocolate No Sugar Added Mix 24 Packets","","Swiss Miss Hot Chocolate No Sugar Added Mix 24 Packets per box prepare 24 individual servings of sugarless chocolate instant hot cocoa from Swiss Miss Hot Chocolate.","10.0000","http://www.coffeeforless.com/swiss-miss-hot-chocolate-no-sugar-added-mix-24-packets.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/swissmisssugarfree.gif","Swiss Miss","5","","24","","","Yes","1","0"
"351","Starbucks Ground Coffee","247491","Starbucks Caffe Verona Ground Coffee 18 2.5oz Bags","","Starbucks Caffe Verona Ground Coffee 18 2.5oz Bags allow you to produce mug after mug of sweet, spicy specialty coffee from Starbucks Ground Coffee.","44.5000","http://www.coffeeforless.com/starbucks-caffe-verona-ground-coffee-18-2-5oz-bags.html","http://mcdn.coffeeforless.com/media/catalog/product//s/t/starbucks_cafe_verona_portion_pack.jpg","Starbucks","5","Caffeinated","18","No","No","Yes","1","0"
"352","Tazo Tea","149900","Tazo Zen Tea 24ct Box","","Tazo Zen Tea 24ct box allow you to brew 24 single servings of brisk, complicated blended tea when you steep Tazo Tea.","6.5000","http://www.coffeeforless.com/tazo-zen-tea-24ct-box.html","http://mcdn.coffeeforless.com/media/catalog/product/images/tazo/tazo-zen-tea-24ct-box.jpg","Tazo","5","Caffeinated","","No","No","Yes","1","0"
"354","Bunn Coffee Machines","343","Bunn Twin 3 Gallon Automatic Coffee Urn U3","","The Bunn Twin 3 Gallon Automatic Coffee Urn U3 coffee machine has the utility that you expect from a quality automatic coffee brewer by Bunn Coffee Machines.","3000.0000","http://www.coffeeforless.com/bunn-twin-3-gallon-automatic-coffee-urn-u3.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunnurn2.gif","Bunn","4","","","","","Yes","1","0"
"356","Bunn Coffee Machines","369","Bunn CWTF APS-MV Single Multi-Voltage Airpot Coffee Brewer","","The Bunn CWTF APS-MV Single Multi-Voltage Airpot Coffee Brewer coffee machine features the options you expect from airpot coffee brewer by Bunn Coffee Machines.","900.0000","http://www.coffeeforless.com/bunn-cwtf-aps-mv-single-multi-voltage-airpot-coffee-brewer.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunnairpot.gif","Bunn","0","","","","","Yes","1","0"
